"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Scg2",0,2.07789152813165,0.918,0.235,0
"Rgs2",0,1.50413520278522,0.798,0.096,0
"Ptgs2",0,2.39266584108576,0.835,0.049,0
"Atf3",0,1.70529023109015,0.65,0.001,0
"Tnfaip6",0,3.35640139223746,0.752,0.024,0
"Mir670hg",0,3.01436239351539,0.976,0.259,0
"Bdnf",0,3.38732910984628,0.979,0.241,0
"Snap25",0,0.804018999852164,1,0.996,0
"Pmepa1",0,1.37657717502923,0.898,0.298,0
"Tiparp",0,1.41697466112295,0.902,0.254,0
"Slc6a17",0,1.24128558128359,0.976,0.692,0
"Tspan5",0,1.30381830133429,0.995,0.948,0
"Ddah1",0,1.3716820103249,0.721,0.118,0
"Brinp1",0,2.1926441529412,0.999,0.959,0
"Jun",0,1.36893109586303,0.747,0.126,0
"Rheb",0,1.82668387671697,0.978,0.531,0
"Fosl2",0,1.60083286671281,0.89,0.149,0
"Pcdh7",0,1.35410799960589,0.99,0.95,0
"Adgrl3",0,1.34449510153015,0.998,0.994,0
"Vgf",0,1.50359102313966,0.936,0.412,0
"Nptx2",0,2.81617261973802,0.946,0.097,0
"Hsph1",0,2.01351386867111,0.981,0.484,0
"Il12rb2",0,0.986644509362479,0.698,0.085,0
"Grm7",0,2.01890997172024,0.999,0.991,0
"Fosb",0,1.72150435568941,0.92,0.083,0
"Hs3st2",0,1.82366360576369,0.921,0.468,0
"Dlgap2",0,1.02017919392315,0.998,0.995,0
"Klhl2",0,1.57370630679319,0.987,0.752,0
"Dnajb1",0,2.12628307127825,0.88,0.103,0
"Junb",0,1.75556434375891,0.929,0.318,0
"Mt1",0,1.53016206255984,0.791,0.147,0
"Igsf9b",0,1.76481042495956,0.982,0.781,0
"Sik2",0,1.72899069589978,0.982,0.718,0
"Tpm1",0,1.7405609954284,0.936,0.466,0
"Lims1",0,1.40026088972075,0.907,0.497,0
"Zwint",0,1.16839437786123,0.975,0.709,0
"Pcdh15",0,2.60588066381635,0.975,0.741,0
"Gm15398",0,2.41668318333064,0.899,0.492,0
"Dot1l",0,1.22077193565667,0.953,0.593,0
"Dusp6",0,1.20368703032048,0.767,0.136,0
"Tmtc2",0,1.54145910603507,0.905,0.46,0
"Ppm1h",0,1.75205156689864,0.991,0.783,0
"Ifrd1",0,2.33949279380013,0.952,0.41,0
"Fos",0,2.08974285855502,0.939,0.124,0
"Dip2c",0,1.0465859674955,0.997,0.977,0
"Inhba",0,3.22491190444307,0.899,0.223,0
"Elmo1",0,2.29257354831033,0.91,0.631,0
"Nrn1",0,1.7651561475086,0.953,0.563,0
"Jarid2",0,2.34162302653266,0.966,0.688,0
"Gadd45g",0,1.91180026723006,0.891,0.074,0
"Nfil3",0,0.856219767260148,0.67,0.063,0
"Pcsk1",0,1.59133817761585,0.941,0.403,0
"Zmiz1",0,1.53770160164162,0.919,0.466,0
"Spry2",0,1.23570622308824,0.899,0.328,0
"Arc",0,1.7141781486694,0.964,0.367,0
"Myh9",0,1.05449741377463,0.897,0.359,0
"Nr4a1",0,1.54870845234103,0.986,0.519,0
"Tulp4",0,1.09307753523001,0.977,0.722,0
"Hspa1b",0,1.9034931997972,0.824,0.012,0
"Hspa1a",0,2.05317974901199,0.809,0.012,0
"Vegfa",0,1.23260153536992,0.801,0.213,0
"Egr1",0,1.88237149590644,0.97,0.394,0
"Npas4",0,2.69957397652569,0.979,0.174,0
"Sorcs3",0,2.64274024398686,0.97,0.65,0
"Tmsb4x",0,1.54684390717037,0.974,0.598,0
"Egr4",6.61901041447714e-308,1.30478618906673,0.758,0.149,1.68268482756838e-303
"Efhd2",1.02160817706868e-307,1.52617904396871,0.874,0.376,2.597132307744e-303
"Ccn1",9.0251072003535e-302,1.37077302526932,0.685,0.081,2.29436275247387e-297
"Dgki",4.49434842341296e-299,1.03594250640791,0.993,0.972,1.14255325620004e-294
"Ntrk2",1.27431091492072e-298,0.894712490709804,0.998,0.973,3.23955320791146e-294
"Fat3",4.86278541086411e-293,1.29531139040262,0.986,0.866,1.23621730714988e-288
"Hectd2",1.5355590974527e-292,1.15930092234232,0.909,0.499,3.90369833754426e-288
"Hectd2os",1.66997742308888e-288,1.19800470496917,0.856,0.376,4.24541660497655e-284
"Noct",2.0148748075552e-283,1.30313516633725,0.814,0.303,5.12221473576683e-279
"Actn1",3.56737862141445e-282,1.06505825623305,0.915,0.554,9.06898993135982e-278
"Nr4a3",2.07815876827388e-281,1.04563786222279,0.86,0.263,5.28309522070584e-277
"Adcyap1",2.48934765264977e-281,1.61749971895688,0.618,0.064,6.32841960256625e-277
"Stat3",1.94308074588467e-280,1.10440056772858,0.769,0.228,4.93969987218802e-276
"Trio",2.70777195178465e-277,0.88380908994077,0.995,0.94,6.88369785582693e-273
"Csnk1a1",7.87351402518297e-271,0.900590141739936,0.987,0.86,2.00160473548201e-266
"Fam135b",7.87774263760694e-270,1.01896653880401,0.986,0.919,2.00267973333244e-265
"Cdyl",6.40445131145177e-269,1.42497332575357,0.768,0.275,1.62813961239727e-264
"Sema3e",1.25791124821539e-268,2.44620102298405,0.781,0.256,3.19786197521317e-264
"Enah",1.78708904796318e-268,1.18644881501792,0.971,0.82,4.54313777773199e-264
"Aldoa",5.52140608445226e-267,1.17191362951671,0.875,0.407,1.40365185478945e-262
"Gadd45b",1.13703941290552e-266,0.831309528468149,0.667,0.1,2.89058159548842e-262
"Ubb",1.46732673135987e-263,1.24569874259958,0.934,0.592,3.73023801646307e-259
"Baz1a",4.98296141618397e-263,0.866656435479452,0.57,0.034,1.26676845122229e-258
"Gm37245",2.48175573994093e-262,1.26023273498857,0.584,0.054,6.30911944207782e-258
"Hmgcr",8.9780917968355e-261,1.06566607168706,0.932,0.532,2.28241049659152e-256
"Cnnm1",4.39751432322531e-257,1.07600923891266,0.884,0.487,1.11793609125034e-252
"Hsp90aa1",1.2487431171578e-256,1.09503343526052,0.933,0.596,3.17455475243856e-252
"Homer1",9.95573739707976e-256,1.38357117628301,0.998,0.927,2.53094756108562e-251
"Frmd6",4.25530320447315e-255,1.30920297816918,0.936,0.751,1.08178318064116e-250
"Dnase1l3",1.43219957508664e-254,0.95803268673821,0.517,0.011,3.64093775978525e-250
"Actg1",2.61432854054828e-253,1.06473364957519,0.834,0.331,6.64614601578183e-249
"Cystm1",9.69408064747676e-253,0.952413130785059,0.793,0.288,2.46442918220154e-248
"Maml3",9.20141398832247e-252,1.56562004643746,0.907,0.607,2.33918346411134e-247
"Dusp14",3.18175780461498e-248,1.06992289310619,0.806,0.321,8.08866469089221e-244
"Vcl",6.23937815207531e-248,1.02373131038208,0.794,0.298,1.58617471382059e-243
"Pls3",1.12118352401593e-247,1.15008104643786,0.851,0.41,2.8502727547533e-243
"Itgav",2.84050029727598e-246,1.4348148311916,0.793,0.353,7.221119855735e-242
"Gm11290",1.06048955052289e-245,1.41249660122917,0.64,0.121,2.6959765353393e-241
"Fndc3a",1.84464371796068e-245,1.07236027477896,0.907,0.578,4.68945325979965e-241
"Pim1",1.66051424415084e-243,0.88241262907334,0.515,0.017,4.22135931148026e-239
"Abhd2",1.74962591287088e-243,0.998464238796038,0.917,0.597,4.44789899570035e-239
"Nrxn2",2.38608148557925e-243,0.991051851864008,0.956,0.774,6.06589635263958e-239
"Rapgef5",3.43973533550246e-243,1.35175702677833,0.923,0.782,8.74449516991435e-239
"Nfe2l3",6.15765345149616e-241,0.89564907590199,0.688,0.15,1.56539866043935e-236
"Acvr1",2.07788431589584e-240,0.940034374298556,0.918,0.587,5.28239750787041e-236
"Megf11",3.49905433469259e-240,1.38718007293419,0.7,0.209,8.8952959296555e-236
"Tet3",5.90033199148451e-239,1.07364379163885,0.945,0.699,1.49998239887519e-234
"Nrsn1",8.56216878053061e-238,1.13753471493198,0.749,0.254,2.17667454738649e-233
"Tpt1",3.86686864530028e-237,0.874528351577625,0.866,0.38,9.83035347008237e-233
"Antxr2",5.96070700352303e-237,1.3778696718389,0.559,0.065,1.51533093443562e-232
"Adam19",2.75890433174625e-236,1.12495561528441,0.697,0.202,7.01368659216532e-232
"Malat1",3.40705167694888e-236,0.824398371520253,1,1,8.66140677313945e-232
"Fndc3b",4.51398533624167e-236,0.982330268037707,0.88,0.486,1.14754535217936e-231
"Gm17501",5.20032529647866e-235,0.925641599424874,0.586,0.075,1.32202669687081e-230
"Tll1",9.33332008324033e-231,1.87925585856888,0.556,0.064,2.37271663156136e-226
"Lsmem1",1.49143034685772e-230,0.800882745774635,0.529,0.04,3.7915142277817e-226
"Ywhag",4.27002302051366e-229,0.892368665058388,0.964,0.742,1.08552525227498e-224
"Calm1",3.73534940509692e-228,1.42953259044452,0.982,0.87,9.4960052576374e-224
