"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Slc4a10",0,0.859086259796301,0.991,0.949,0
"Mir670hg",0,1.56103944132192,0.858,0.259,0
"Maml3",0,1.23280894229848,0.933,0.607,0
"Gabbr2",0,0.953354908569851,0.976,0.942,0
"Sorcs2",0,1.36438784595184,0.867,0.429,0
"Pcdh7",0,1.25850889586369,0.99,0.95,0
"Adgrl3",0,1.21958917470228,1,0.994,0
"Rimbp2",0,1.13618332840412,0.982,0.822,0
"Plxna4",0,1.11298972891247,0.981,0.868,0
"Dlgap2",0,0.930022291263892,0.999,0.995,0
"Pcdh15",0,2.52372388225216,0.977,0.741,0
"Gm15398",0,2.07621489686831,0.859,0.492,0
"Ppm1h",0,1.09271954151898,0.971,0.783,0
"Rap1gap2",0,1.16704045059559,0.954,0.776,0
"Dtnb",0,1.01509313593815,0.981,0.846,0
"Gphn",0,0.90038925900151,0.997,0.989,0
"Pi4ka",0,0.78173972074506,0.988,0.912,0
"Malat1",0,1.23261312193113,1,1,0
"Blnk",0,1.34995857136735,0.639,0.081,0
"Sorcs3",0,2.12981185290299,0.977,0.65,0
"AC149090.1",0,2.11192008653441,0.972,0.634,0
"Trnp1",1.40916217309646e-305,0.998033859146974,0.721,0.177,3.58237207644581e-301
"Zmiz1",6.18992849812039e-305,1.225293551152,0.86,0.466,1.57360362279217e-300
"Syn2",3.91754050248197e-302,0.929745542789572,0.989,0.912,9.95917146540967e-298
"Tspan5",9.38653188768811e-297,0.918733595858765,0.992,0.948,2.38624413648807e-292
"Fam126b",5.59042102114646e-293,0.907820359837072,0.937,0.716,1.42119683199585e-288
"Trim2",6.12297589267584e-289,0.920803611286659,0.972,0.83,1.55658293143605e-284
"Amph",2.96386966115979e-286,0.888592673426857,0.975,0.88,7.53474945260042e-282
"Jarid2",1.78873212207053e-278,1.00112514911741,0.922,0.688,4.54731480072769e-274
"Ctnnd2",1.3706763152771e-267,0.606437394924626,1,0.995,3.48453332869743e-263
"Slc6a17",3.55136627505598e-258,0.811257791803385,0.938,0.692,9.02828334444732e-254
"Lhfp",2.47887846418733e-257,1.13534812048992,0.87,0.48,6.30180483165704e-253
"Inpp4b",2.7445702406758e-257,1.13256125245205,0.867,0.352,6.97724646584602e-253
"Nptx2",1.6331923141721e-253,0.782123261650487,0.614,0.097,4.15190150108832e-249
"Prkag2",4.54421197205895e-249,0.898068145279214,0.949,0.775,1.15522956753683e-244
"Fam135a",5.22404975710323e-246,1.08510606013486,0.882,0.633,1.32805792925078e-241
"Sema4a",7.33821295115721e-244,0.821468062601672,0.764,0.29,1.86552049644319e-239
"Kcnip3",8.18199695722176e-244,0.842127372783707,0.958,0.728,2.08002726646492e-239
"Ank2",1.33900683361864e-239,0.581200009077507,1,0.998,3.40402317242532e-235
"Nav2",1.01490803099428e-230,0.805773278784514,0.993,0.979,2.58009919639365e-226
"Klhl2",9.53426194586452e-228,0.850550641421045,0.941,0.752,2.42380007187768e-223
"Prkce",9.55390051444958e-216,0.692206172196633,0.992,0.971,2.42879258878337e-211
"Pxdn",1.95193406099158e-213,0.886078933829431,0.773,0.389,4.96220676985278e-209
"Kcnj6",4.30921276555633e-209,0.818117360237121,0.962,0.859,1.09548806925973e-204
"Megf11",3.30835772840753e-206,1.54834133283959,0.612,0.209,8.41050701715763e-202
"Kcnh1",1.07793675230558e-204,0.919092148707396,0.924,0.794,2.74033081171125e-200
"Grin1",3.0016525080331e-199,0.583833145603028,0.987,0.949,7.63080100592174e-195
"Npy",3.61718047366166e-198,0.708354044148479,0.545,0.104,9.19559620014266e-194
"Hs3st2",4.41894430034807e-193,0.907265178535614,0.841,0.468,1.12338402003449e-188
"Cnr1",7.62569714399124e-190,0.866068294027833,0.729,0.337,1.93860472794545e-185
"Iqsec3",2.61129934982083e-186,0.720959446701035,0.861,0.565,6.63844520711451e-182
"Nrp1",5.64505360978109e-186,0.881484357033397,0.804,0.383,1.43508552867855e-181
"Syn3",1.08976673266888e-181,0.909997183148856,0.86,0.568,2.77040498779083e-177
"Ptk2",7.46077680682287e-179,0.567123563039554,0.992,0.972,1.89667867983051e-174
"Baz1a",2.04443701238797e-176,0.644689219287107,0.416,0.034,5.1973677728927e-172
"Luzp2",1.4371142910333e-171,1.46736517822237,0.664,0.269,3.65343195066485e-167
"Myrip",4.64380804862152e-169,0.730966643279803,0.905,0.701,1.18054888212056e-164
"Galnt17",2.68560643692265e-165,0.883280546757824,0.909,0.724,6.82734868394476e-161
"Mctp2",3.04572159423215e-165,0.64105993726487,0.436,0.063,7.74283343685698e-161
"Slc7a4",5.37274038660628e-165,0.595471503886813,0.548,0.147,1.36585806108305e-160
"Chga",6.02739797870894e-165,0.646560237738475,0.701,0.302,1.53228511414739e-160
"Odf2",1.22668734852837e-164,0.686192595297924,0.897,0.687,3.11848457742883e-160
"Larp1b",1.9359968833839e-164,0.725322744785125,0.816,0.518,4.92169127693854e-160
"4732471J01Rik",2.57067131462915e-164,0.726191318746759,0.87,0.646,6.53516061605023e-160
"Tbc1d24",6.43948606247563e-164,0.643226030515428,0.795,0.465,1.63704614680255e-159
"Tll1",9.14159623349229e-163,1.02011520775627,0.432,0.064,2.32397659447841e-158
"Gxylt2",1.38953947866029e-161,0.639095247632719,0.395,0.038,3.53248726265018e-157
"Pcnx2",2.25321544500091e-161,0.645855543446942,0.907,0.71,5.72812430428131e-157
"Grik5",1.19635835201374e-159,0.658822854321283,0.913,0.73,3.04138220248933e-155
"Pde1a",1.62589112346576e-157,0.903708182244559,0.965,0.872,4.13334041407467e-153
"Rab36",1.42426773500057e-155,0.600027106995361,0.624,0.245,3.62077343591844e-151
"Ttll11",2.05736845161272e-154,0.606494427085584,0.916,0.751,5.23024207768985e-150
"Sec61a2",7.59289289565666e-152,0.590404611833539,0.899,0.685,1.93026523193384e-147
"Cck",9.14712987274705e-151,0.709146508467558,0.888,0.58,2.32538335624975e-146
"Lyzl4",2.61582849292879e-148,0.597260589909834,0.633,0.267,6.64995919472358e-144
"Abl2",8.80193483552844e-147,0.612906649801344,0.859,0.604,2.23762787388804e-142
"Jade3",1.54467334022971e-146,0.567281480440562,0.611,0.239,3.92686856553198e-142
"Usp53",7.35006846056766e-145,0.602694840616637,0.702,0.342,1.86853440404551e-140
"Klf10",9.68007409465248e-145,0.593333472914485,0.689,0.309,2.46086843634255e-140
"Myt1l",2.41710609848419e-143,0.510847885594282,0.996,0.989,6.1447671235665e-139
"Jazf1",1.88212203889502e-141,0.587812616324164,0.94,0.79,4.78473064727893e-137
"Zbtb1",1.85234849638712e-140,0.583504283100834,0.545,0.186,4.70904034751535e-136
"Dip2c",1.95900144108896e-139,0.489118514990947,0.99,0.977,4.98017346353635e-135
"Dpm3",4.12378207803941e-139,0.490857443331843,0.449,0.093,1.04834787987918e-134
"Glce",2.017702419638e-138,0.612155014406327,0.64,0.284,5.12940309120371e-134
"Adgra2",1.12631833533094e-137,0.472155243572409,0.376,0.05,2.86332647207833e-133
"Ddhd1",2.71252844230982e-137,0.618647465251707,0.819,0.56,6.89578980604003e-133
"Snca",5.87789526899709e-135,0.624790148851105,0.905,0.725,1.49427853528444e-130
"Ptgs1",6.7719094672606e-134,0.414727641025765,0.323,0.019,1.72155482476699e-129
"Rapgef4",1.70209415753049e-133,0.535649211127422,0.979,0.928,4.32706376727401e-129
"Cdh23",4.54846671003714e-133,0.683213254671375,0.305,0.01,1.15631120702564e-128
"Oprd1",5.38513359801068e-133,0.542527360074103,0.479,0.135,1.36900866328628e-128
"Nkain1",1.11307089583139e-132,0.478169125829732,0.388,0.062,2.82964883138255e-128
"Gm43154",5.11622259397491e-131,0.636400852463942,0.358,0.047,1.3006461078403e-126
"Ak5",2.81673159821431e-130,0.65022786811279,0.933,0.813,7.16069506898042e-126
"Strip2",2.03263275838349e-129,0.671867569946788,0.429,0.102,5.1673589983625e-125
"Trank1",2.09449047899899e-129,0.520799394181592,0.972,0.901,5.32461369571124e-125
"Trio",2.4264626723865e-129,0.504804841183261,0.977,0.94,6.16855340574097e-125
"Pabpc4",6.01720794418345e-129,0.560146117746591,0.634,0.279,1.52969460357032e-124
"Car10",3.47896509530768e-128,0.809149193499229,0.938,0.935,8.84422506529119e-124
"Lrrc8d",4.18160999223852e-128,0.602514819550922,0.667,0.337,1.06304889222688e-123
"Slc17a7",7.41047302809841e-128,0.505348533290508,0.978,0.909,1.88389045320318e-123
"Dtnbos",1.98665773438373e-127,0.609272101685931,0.835,0.535,5.05048129235031e-123
"Hnrnpll",2.88405517549698e-127,0.648666972543765,0.852,0.608,7.33184506714842e-123
"Lpar1",4.59505545832843e-127,0.55709890675297,0.396,0.073,1.16815499861625e-122
"Ptprf",5.16078474847677e-126,0.543341262220546,0.62,0.279,1.31197469875776e-121
"Ldlrad4",1.45944123004291e-125,0.584127563549334,0.973,0.936,3.71019149501508e-121
"Slc25a42",1.677622643316e-125,0.521027412788777,0.644,0.3,4.26485228383794e-121
"Serinc2",4.17139227752081e-125,0.48111264649864,0.557,0.189,1.06045134479134e-120
"Vti1a",5.86608242645046e-124,0.538156203173043,0.947,0.847,1.49127547445224e-119
"Nrxn3",2.12759092396428e-123,0.55871277468844,0.999,0.992,5.408761646902e-119
"4930488L21Rik",2.13208944296849e-123,0.518699392100213,0.439,0.114,5.4201977819145e-119
"Fndc3a",3.27823297184641e-123,0.582020270780217,0.831,0.578,8.33392386102794e-119
"Atp6v1b2",3.95586288419203e-123,0.523263117019935,0.871,0.659,1.0056594624193e-118
"Ssbp3",4.98759492512536e-123,0.580845852736566,0.819,0.553,1.26794638186537e-118
"Itpk1",1.26774577129213e-122,0.54163618919722,0.609,0.279,3.22286329977886e-118
"Gdpd5",2.79714708549131e-122,0.504682998396328,0.539,0.193,7.11090732073601e-118
"Herc3",1.41372646424575e-120,0.633857391994453,0.91,0.765,3.59397541740554e-116
