gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,difference
F13a1,2.89E-216,4.994977544,0.909,0.002,7.35E-212,Macrophage,0.907
Mrc1,8.63E-150,4.581383538,0.909,0.01,2.20E-145,Macrophage,0.899
Rnf213,7.99E-41,2.959677441,0.846,0.086,2.03E-36,AMG4,0.76
Cep128,1.97E-68,2.402429998,0.787,0.059,5.01E-64,AMG3,0.728
Itsn1,3.26E-45,2.733601187,0.773,0.051,8.29E-41,Macrophage,0.722
Apoe,5.23E-21,5.364544026,0.909,0.219,1.33E-16,Macrophage,0.69
Pola1,5.88E-52,2.194809936,0.745,0.072,1.50E-47,AMG3,0.673
Parp14,3.08E-29,2.532823237,0.769,0.1,7.84E-25,AMG4,0.669
Arhgap15,1.79E-35,3.000875559,0.727,0.058,4.56E-31,Macrophage,0.669
Iqgap2,2.59E-74,2.901423345,0.682,0.018,6.59E-70,Macrophage,0.664
Diaph3,1.31E-95,2.443608156,0.681,0.023,3.34E-91,AMG3,0.658
Ezh2,6.87E-46,1.785410529,0.723,0.076,1.75E-41,AMG3,0.647
Dab2,1.02E-13,2.293754277,0.909,0.268,2.60E-09,Macrophage,0.641
Brip1,1.72E-117,2.235624853,0.617,0.009,4.36E-113,AMG3,0.608
Stab1,9.52E-15,2.413322156,0.909,0.316,2.42E-10,Macrophage,0.593
Sp100,2.25E-41,2.071703227,0.615,0.038,5.73E-37,AMG4,0.577
Rbpj,5.16E-15,3.554814979,0.864,0.293,1.31E-10,Macrophage,0.571
Slfn5,1.25E-76,2.110446025,0.577,0.012,3.18E-72,AMG4,0.565
Nsd2,1.03E-18,1.513244542,0.809,0.255,2.61E-14,AMG3,0.554
Tmpo,3.01E-29,1.741508432,0.66,0.109,7.66E-25,AMG3,0.551
Vav3,1.58E-30,2.738637068,0.591,0.044,4.01E-26,Macrophage,0.547
Cbx5,2.84E-22,1.362491599,0.681,0.136,7.21E-18,AMG3,0.545
Ms4a7,2.59E-142,2.780576554,0.545,0,6.58E-138,Macrophage,0.545
F630028O10Rik,1.10E-106,2.47925678,0.545,0.003,2.79E-102,Macrophage,0.542
Psd3,3.03E-14,2.888831607,0.727,0.185,7.69E-10,Macrophage,0.542
Trim30a,3.87E-13,1.884406799,0.731,0.19,9.84E-09,AMG4,0.541
Sash1,2.62E-48,2.145980791,0.545,0.02,6.65E-44,Macrophage,0.525
Prim2,1.06E-32,1.67922677,0.596,0.075,2.70E-28,AMG3,0.521
Mms22l,1.47E-50,1.691725542,0.553,0.036,3.73E-46,AMG3,0.517
Pde7b,1.84E-35,3.122173618,0.545,0.031,4.67E-31,Macrophage,0.514
P2rx7,4.65E-12,3.105718903,0.773,0.261,1.18E-07,Macrophage,0.512
Tbc1d4,7.36E-13,2.061146306,0.636,0.13,1.87E-08,Macrophage,0.506
Ctsc,7.55E-10,1.65337207,0.818,0.317,1.92E-05,Macrophage,0.501
Ncapd3,6.32E-23,1.413507657,0.596,0.105,1.61E-18,AMG3,0.491
Epsti1,7.70E-12,1.844197697,0.654,0.163,1.96E-07,AMG4,0.491
Anapc15,9.83E-15,1.968555094,0.591,0.102,2.50E-10,Macrophage,0.489
Atad2,2.22E-27,1.868353411,0.574,0.085,5.65E-23,AMG3,0.489
Top2a,8.41E-121,2.535435276,0.489,0.001,2.14E-116,AMG3,0.488
Samd4,1.87E-20,2.089411163,0.545,0.058,4.75E-16,Macrophage,0.487
Rad51b,1.40E-23,1.872013882,0.596,0.11,3.56E-19,AMG3,0.486
Trps1,3.89E-12,2.417471384,0.636,0.151,9.90E-08,Macrophage,0.485
A330040F15Rik,1.35E-17,1.136228705,0.596,0.12,3.43E-13,AMG3,0.476
Mdfic,1.05E-32,2.18735428,0.5,0.027,2.66E-28,Macrophage,0.473
Baz1b,2.39E-12,1.103225451,0.702,0.232,6.09E-08,AMG3,0.47
Lyz2,3.11E-27,3.041359137,0.5,0.035,7.90E-23,Macrophage,0.465
Myo5a,1.73E-10,2.212564516,0.636,0.172,4.41E-06,Macrophage,0.464
Sdk1,1.16E-16,2.178682944,0.66,0.207,2.96E-12,AMG3,0.453
Rnf150,1.20E-08,1.79990116,0.682,0.236,0.000305923,Macrophage,0.446
Gm12353,2.17E-09,2.174029852,0.682,0.237,5.51E-05,Macrophage,0.445
Trim30d,5.93E-14,1.812229176,0.538,0.098,1.51E-09,AMG4,0.44
Sclt1,2.60E-13,1.041886159,0.596,0.16,6.60E-09,AMG3,0.436
Lin54,2.34E-22,1.226824919,0.511,0.076,5.95E-18,AMG3,0.435
Ifi207,1.55E-31,1.958853533,0.462,0.027,3.93E-27,AMG4,0.435
Pla2g7,1.40E-34,2.06851085,0.455,0.02,3.57E-30,Macrophage,0.435
Cit,2.07E-29,1.682156905,0.489,0.055,5.25E-25,AMG3,0.434
Rttn,1.61E-21,1.11628512,0.511,0.078,4.10E-17,AMG3,0.433
Rbl1,8.60E-37,1.304065289,0.468,0.037,2.19E-32,AMG3,0.431
Ifi207,2.88E-26,1.904820175,0.455,0.029,7.32E-22,Macrophage,0.426
Stat1,6.23E-15,1.644492682,0.5,0.075,1.58E-10,AMG4,0.425
Smc4,6.50E-48,1.486035032,0.447,0.023,1.65E-43,AMG3,0.424
Kif4,1.19E-90,1.593869937,0.426,0.003,3.02E-86,AMG3,0.423
Sbf2,1.94E-08,1.72235847,0.864,0.442,0.000492446,Macrophage,0.422
Pbx3,1.72E-08,0.915041054,0.723,0.302,0.000436772,AMG3,0.421
Ptprk,1.92E-12,1.731453732,0.5,0.082,4.87E-08,Macrophage,0.418
Cenpp,4.04E-36,2.00849135,0.447,0.036,1.03E-31,AMG3,0.411
Prr5l,4.01E-12,1.385494827,0.5,0.091,1.02E-07,AMG4,0.409
Ms4a4a,5.83E-107,2.40216921,0.409,0,1.48E-102,Macrophage,0.409
Cd38,2.87E-96,2.630633393,0.409,0.001,7.29E-92,Macrophage,0.408
Mndal,1.61E-87,2.099901129,0.409,0.002,4.10E-83,Macrophage,0.407
Nlrc4,1.07E-73,1.77319561,0.409,0.003,2.73E-69,Macrophage,0.406
Arhgef3,2.53E-16,2.245114118,0.455,0.052,6.43E-12,Macrophage,0.403
Spidr,3.45E-10,0.864196499,0.574,0.171,8.77E-06,AMG3,0.403
A930037H05Rik,4.88E-16,2.333172376,0.462,0.062,1.24E-11,AMG4,0.4
Nrp1,1.07E-06,1.748414359,0.682,0.285,0.027106738,Macrophage,0.397
Pds5b,4.74E-10,1.018466576,0.596,0.2,1.20E-05,AMG3,0.396
Kif15,1.15E-61,1.465991213,0.404,0.01,2.92E-57,AMG3,0.394
Zfp277,5.74E-07,1.157632463,0.577,0.183,0.014586365,AMG4,0.394
Lmnb1,1.88E-13,1.072132001,0.511,0.119,4.78E-09,AMG3,0.392
Herc6,3.31E-10,1.471752584,0.5,0.11,8.41E-06,AMG4,0.39
Gm4951,1.53E-30,2.227509194,0.409,0.019,3.90E-26,Macrophage,0.39
Dclre1c,6.28E-07,1.778312069,0.636,0.247,0.01595405,Macrophage,0.389
Pid1,1.16E-06,1.932735302,0.773,0.385,0.029432517,Macrophage,0.388
Hat1,3.06E-17,1.0218998,0.468,0.081,7.77E-13,AMG3,0.387
